"Sample","pop","year","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"0321_BC17","BC",2017,-0.0205974591868765,-0.0241638764732318,-0.0207784449881472,-0.00380263270357932,-0.00248734123230381,0.00799695608844573,0.00166904094107799,4.83869935292509e-05
"0322_BC17","BC",2017,-0.0210063847048148,-0.0206193840918432,-0.00960047741398558,-0.00672419473790515,0.00219857274706004,0.0136029020618024,0.00218625344648817,0.00396603774641884
"0323_BC17","BC",2017,-0.0240429538700484,-0.0140832382271721,-0.00237930716243584,0.0163537119890253,-0.00541278881844031,-0.00316035192357927,-0.0121387457355108,0.00254828791070292
"0324_BC17","BC",2017,-0.0169544854313109,-0.0337960003426321,-0.039661414282037,0.00433039883473249,-0.00316541383636422,0.00334028120988669,0.00248975486503739,-0.00280564638373916
"0325_BC17","BC",2017,-0.0194439921725792,-0.0261155254132579,-0.0301140862092324,0.0104775881831444,-0.00442261690885681,-0.00232645390439049,0.00207745136174192,0.000971849912287182
"0326_BC17","BC",2017,-0.0215542802021703,-0.0173848954052291,-0.0160511918122847,0.0123035136332952,-0.0185228720836666,0.000189348804088052,-0.0114457586385081,-0.0157860277495891
"0327_BC17","BC",2017,-0.0204304047668265,-0.0206740403894708,-0.0263488823711499,0.01464365619328,-0.00279802363581716,0.00100837686078586,-0.0039591158691111,-0.00322847370006834
"0328_BC17","BC",2017,-0.0209475804532233,-0.0278730523822365,-0.0217163446056166,0.0114488202743743,-0.00748447281361683,0.00323799998546442,-0.00252998804403542,0.000854433111274851
"0369_BC17","BC",2017,-0.0248709632250168,-0.0110205729411859,0.000313903886625416,0.0175747594966543,-0.0266578789209495,0.0129010996451057,-0.00798198315147704,-0.0119841513145342
"0370_BC17","BC",2017,-0.031166072560452,0.00770896584952802,0.0824451916895129,0.136517090844372,-0.0177194192620073,0.0114987232591611,-0.02510372304278,0.0643642981917985
"0371_BC17","BC",2017,-0.0286053399892236,0.00143200448081669,0.0595043663440425,0.0717908638380232,-0.036362009606913,-0.00824628364747293,-0.00168618825051554,-0.00316375168534828
"0372_BC17","BC",2017,-0.029676868195739,0.0209957118177807,0.04788015356028,-0.0226983219279462,-0.0357801154986248,-0.0129947786035258,0.0287805679534255,0.0824260692399574
"0373_BC17","BC",2017,-0.0260105701714635,0.00266018533969267,0.0405972449353603,0.0387797329959367,-0.00331249322719256,-0.0215019801032386,-0.0256072192253378,-0.00106239547273126
"0374_BC17","BC",2017,-0.0209191320372481,-0.0236797775423124,-0.0182248438582043,0.00347636038934651,-0.0023000993060127,-0.00309610852013281,-0.00591684115482355,-0.000437071339089111
"0375_BC17","BC",2017,-0.0252578241536711,-0.018237763437335,0.00892374213543263,0.0281943128313407,0.000477040930124822,0.00500434756114104,-0.00856097860522648,0.00318128103464465
"0376_BC17","BC",2017,-0.0246635042296298,-0.0019436208089878,0.0267987752660391,-0.0102078750161225,0.0138045092344523,0.00427091266328564,-0.0199794682245456,0.0150036855802799
"0377_BC17","BC",2017,-0.0257376761236929,0.0084037667699094,0.0205010781134429,-0.00283729455860185,-0.0107238681967369,-0.00721224644448305,0.00996951775335718,0.0322766411838078
"0378_BC17","BC",2017,-0.0276915430833723,-0.00894898974299746,0.0414781430810395,0.0359568999271337,-0.0129645373678547,0.00594418630652757,0.0158462749532998,0.00360284686408925
"0379_BC17","BC",2017,-0.0262410674779098,-0.00711373256292299,0.0384570827405847,0.038223287481248,-0.00562356226019706,-0.000986107225158864,0.0093766785559596,0.00570224429332548
"0380_BC17","BC",2017,-0.0273342307688031,-0.00544416456188862,0.0483048260489505,0.0542521863027179,-0.021248896740496,0.0163452285494243,0.0161969516450038,0.000904994408000727
"0381_BC17","BC",2017,-0.0279031809378901,-0.00383619061149928,0.0598134053764245,0.0731128957483329,-0.0184787578040322,0.0299559425868557,0.0253702433065125,-0.000331740659194994
"0382_BC17","BC",2017,-0.0242921002414688,-0.0139015598330201,0.0237541508967522,0.0252492357601574,-0.00424156123926595,0.00844331963956763,-0.00215637847282227,0.000136982467616687
