,vamps_project,dataset,Latitude,Longitude,Depth,corrected.sample.depth,Absolute.depth,Corrected.depth,sediment,Sunrise_hr,Sunrise_min,Sunset_hr,Sunset_min,Daylength,apparent.oxygen.utilization..A.,O2,Phosphate,Nitrate,Temperature,Salinity,Oxygen.saturation..u.,Silicate,PAR,CHLO,ModisA_SST,AVHRR_SST,SeaWifis_K490,Modis_K490,BEC.simulated.iron..nm.,BEC.simulated.Nitrate..uM.,BEC.simulated.Phosphate..uM.
12,ICM_DSE_Ev9,DSE_0001_2008_08_11,-65.2,-48.5,4060,5,-3947,-3947,Y,8,44.5,22,4.5,13.3333,0.522,7.733,1.567,27.502,-1.375,33.716,93.832,78.671,-9999,-9999,-9999,-0.52,-9999,-9999,0.082061,24.8315,1.91118
13,ICM_DSE_Ev9,DSE_0002_2008_08_11,-58.25,-25,2292,5,-2821,-2821,Y,7,50.5,19,44,11.8917,0.203,7.752,1.699,22.901,0.619,33.82,97.46,64.478,14.86699,0.56529,-0.02290075,1.025,0.087003,0.102237,0.114521,22.6862,1.77358
14,ICM_DSE_Ev9,DSE_0003_2008_08_11,-58.5,-23.58,6326,5,-6428,-6428,Y,7,46.82,19,35.32,11.8083,0.219,7.708,1.697,22.88,0.646,33.803,97.256,63.348,13.57982,-9999,1.17963,1.115,-9999,0.077799,0.112231,22.5877,1.76767
15,ICM_DSE_Ev9,DSE_0004_2008_06_20,83.6,86.17,3148,5,-3410,-3410,Y,0,0,0,0,0,0.211,8.095,0.265,3.774,-1.76,33.355,97.485,1.013,-9999,-9999,-1.6859,-1.58,-9999,-9999,0.626993,7.48704,0.601439
16,ICM_DSE_Ev9,DSE_0005_2008_08_11,84.9,60.53,3148,5,-3718,-3718,Y,0,0,0,0,0,-0.094,8.569,0.402,4.089,-1.767,33.426,101.115,2.584,-9999,-9999,-9999,-1.755,-9999,-9999,0.629489,7.79639,0.597866
17,ICM_DSE_Ev9,DSE_0006_2008_06_20,82.6,69.3,686,5,-1014,-1014,Y,0,0,0,0,0,0.116,8.277,0.228,2.549,-1.652,33.015,98.679,0.762,-9999,0.44294,-1.7146,-1.245,0.094602,-9999,0.629517,7.69323,0.590459
18,ICM_GPS_Ev9,GPS_0001_2001_10_29,33.55,-118.4,5,5,-891,-891,N,14,13.6,1,0.6,10.7833,-99.999,5.51,0.28,0.1,18.34,33.524,-99.999,1.4,27.73171,0.22974,19.23675,17.55,0.056999,0.067409167,0.185053,0.00901345,0.502464
19,ICM_GPS_Ev9,GPS_0002_2001_10_29,33.55,-118.4,500,500,-891,-891,N,14,13.6,1,0.6,10.7833,-99.999,0.55,2.99,40.3,6.32,34.3,-99.999,70.2,27.73171,0.22974,19.23675,17.55,0.056999,0.067409167,0.646685,13.1405,2.86579
20,ICM_GPS_Ev9,GPS_0003_2005_11_14,-76.0398,170.3015,20,20,-621,-621,N,0,0,0,0,0,1.056,7.306,1.987,28.264,-1.737,34.616,87.487,76.886,-9999,-9999,-9999,-1.455,-9999,-9999,0.207402,30.4553,2.20772
21,ICM_GPS_Ev9,GPS_0004_2005_11_14,-76.0398,170.3015,600,600,-621,-621,N,0,0,0,0,0,1.771,6.638,2.209,31.131,-1.893,34.815,79.024,79.061,-9999,-9999,-9999,-1.455,-9999,-9999,-9999,-9999,-9999
22,ICM_GPS_Ev9,GPS_0005_2005_12_07,-58.1133,178.1907,5247,5247,-4967,-4967,N,15,9.7372,8,44.7372,17.5833,3.486,4.12,2.231,32.82,2.201,34.687,54.26,84.677,36.35936,0.38337,4.157,5.13,0.07115,-9999,0.337358,30.6791,2.23786
23,ICM_GPS_Ev9,GPS_0006_2000_08_24,34.7325,-73.9468,15,15,-3601,-3601,N,10,27.2872,23,29.2872,13.0333,-0.18,4.761,0.179,0.456,26.938,35.948,103.655,3.398,34.30825,0.043667,27.668,27.15,0.019901,0.027842,0.793819,0.001,0.000155331
24,ICM_GPS_Ev9,GPS_0007_2000_08_24,34.7325,-73.9468,105,105,-3601,-3601,N,10,27.2872,23,29.2872,13.0333,0.643,4.447,0.228,1.635,20.506,36.458,87.814,3.053,34.30825,0.043667,27.668,27.15,0.019901,0.027842,0.654095,7.87018,0.401814
25,ICM_GPS_Ev9,GPS_0008_2002_08_12,73.4206,-157.3989,35,35,-3050,-3050,N,12,15.5956,8,45.5956,20.5,-0.271,8.708,1.145,3.789,-0.797,31.095,103.211,18.555,-9999,-9999,-1.0418,0.36,-9999,-9999,0.734218,7.21017,0.694665
26,ICM_GPS_Ev9,GPS_0009_2002_08_11,73.4206,-157.3989,500,500,-3050,-3050,N,12,4.5956,8,55.5956,20.85,1.212,6.714,0.741,10.848,0.471,34.862,84.694,8.2,-9999,-9999,-1.0418,0.36,-9999,-9999,0.646152,11.0117,0.68012
27,ICM_GPS_Ev9,GPS_0010_2003_12_08,9.837,-104.3467,20,20,-2743,-2743,N,13,4.3868,0,30.8868,11.4417,-0.218,4.131,0.759,1.666,27.14,33.429,104.771,14.861,45.52768,0.62349,26.995,27.715,0.09182,0.12064,0.0500647,0.0424532,0.741643
28,ICM_GPS_Ev9,GPS_0011_2003_12_08,9.837,-104.3467,1500,1500,-2743,-2743,N,13,4.3868,0,30.8868,11.4417,5.973,1.428,3.147,43.391,3.121,34.601,19.746,127.76,45.52768,0.62349,26.995,27.715,0.09182,0.12064,0.173088,29.5996,3.1813
29,ICM_GPS_Ev9,GPS_0012_2003_12_08,9.837,-104.3467,2500,36501,-1985,-1985,N,13,4.3868,0,30.8868,11.4417,5.973,1.428,3.147,43.391,3.121,34.601,19.746,127.76,45.52768,0.62349,26.995,27.715,0.09182,0.12064,0.238874,36.1269,2.93276
30,ICM_GPS_Ev9,GPS_0013_2003_12_09,9.8495,-104.2938,2495,36502,-1985,-1985,N,13,4.6752,0,31.1752,11.4417,5.973,1.428,3.147,43.391,3.121,34.601,19.746,127.76,45.47419,0.49999,26.773,27.73,0.083259,0.095855,0.238874,36.1269,2.93276
31,ICM_GPS_Ev9,GPS_0014_2007_10_24,27,-111.4,2007,2007,-1985,-1985,N,13,34.1,0,45.6,11.1917,6.761,0.693,3.367,40.181,2.985,34.606,9.344,165.315,35.981925,0.54058,-9999,26.375,0.0752978,0.10747,-9999,-9999,-9999
32,ICM_GPS_Ev9,GPS_0015_2007_10_26,27.0119,-111.4054,2016,5,-1985,-1985,Y,13,35.1216,0,44.1216,11.15,0.269,4.33,0.757,0.905,26.614,35.385,94.158,4.903,35.981925,0.54058,-9999,26.3,0.0752978,0.10747,-9999,-9999,-9999
33,ICM_GPS_Ev9,GPS_0016_2007_10_23,27.007,-111.4083,2001,5,-1985,-1985,Y,13,33.6332,0,46.6332,11.2167,0.269,4.33,0.757,0.905,26.614,35.385,94.158,4.903,40.559227,0.336381,25.625,27.435,0.0585255,0.086679,-9999,-9999,-9999
34,ICM_JRV_Ev9,JRV_0003_2000_02_22,44.99,-66.74,63,63,-20,-20,N,11,23.46,21,58.46,10.5833,-99.999,7.02,0.84,5.1,2.99,32.174,-99.999,8.4,17.92736,4.7262,2.021625,4.125,0.2443,0.19951,-9999,-9999,-9999
35,ICM_JRV_Ev9,JRV_0004_2000_02_22,44.9942,-66.738,63,63,-20,-20,N,11,23.452,21,58.452,10.5833,-99.999,7.02,0.84,5.1,2.99,32.174,-99.999,8.4,17.92736,4.7262,2.021625,4.125,0.2443,0.19951,-9999,-9999,-9999
36,ICM_JRV_Ev9,JRV_0005_2000_07_31,44.9932,-66.7389,62.9,62.9,-20,-20,N,9,15.9556,23,49.4556,14.5583,-99.999,6.18,0.89,7.2,5.16,32.421,-99.999,7.2,32.749,5.9364,13.48975,15.375,0.30666,0.191803333,-9999,-9999,-9999
37,ICM_JRV_Ev9,JRV_0006_2000_07_31,44.9932,-66.7389,62.9,62.9,-20,-20,N,9,15.9556,23,49.4556,14.5583,-99.999,6.18,0.89,7.2,5.16,32.421,-99.999,7.2,32.749,5.9364,13.48975,15.375,0.30666,0.191803333,-9999,-9999,-9999
38,ICM_JRV_Ev9,JRV_0007_2000_05_02,45.048,-66.7774,14,14,-2,-5,N,9,20.1096,23,28.6096,14.1417,-99.999,7.87,0.5,1.6,3.63,31.55,-99.999,1.5,46.98112,-9999,5.18905,6.3,-9999,0.317315,-9999,-9999,-9999
39,ICM_JRV_Ev9,JRV_0009_2000_05_02,45.0667,-66.9667,47.4,47.4,0,-5,N,9,20.8668,23,29.8668,14.15,-99.999,7.46,0.71,6,3.04,31.97,-99.999,3.6,50.13219,-9999,4.3889,6.45,-9999,0.420595,-9999,-9999,-9999
40,ICM_JRV_Ev9,JRV_0010_2000_05_02,44.9932,-66.7389,63.6,63.6,-20,-20,N,9,20.4556,23,28.4556,14.1333,-99.999,7.09,0.86,8.7,3.37,32.28,-99.999,5,42.36382,4.8311,5.017825,6.3,0.28206,0.2479,-9999,-9999,-9999
41,ICM_JRV_Ev9,JRV_0011_2000_05_02,44.9932,-66.7389,63.6,63.6,-20,-20,N,9,20.4556,23,28.4556,14.1333,-99.999,7.09,0.86,8.7,3.37,32.28,-99.999,5,42.36382,4.8311,5.017825,6.3,0.28206,0.2479,-9999,-9999,-9999
42,ICM_JRV_Ev9,JRV_0012_2000_09_25,45.048,-66.7774,12.7,12.7,-2,-5,N,10,23.1096,22,15.1096,11.8667,-99.999,6.382,0.438,2.32,11.5,31.757,-99.999,3.21,26.32943,-9999,12.8305,13.5,-9999,0.3333475,-9999,-9999,-9999
43,ICM_JRV_Ev9,JRV_0013_2000_09_25,45.0667,-66.9667,46.3,46.3,0,-5,N,10,23.8668,22,15.8668,11.8667,-99.999,6.29,0.7,6.4,7.31,32.3,-99.999,5.8,21.5819,-9999,13.461,13.425,-9999,0.506636667,-9999,-9999,-9999
44,ICM_JRV_Ev9,JRV_0014_2000_07_31,45.048,-66.7774,13,13,-2,-5,N,9,16.1096,23,49.6096,14.5583,-99.999,6.74,0.48,1.5,9.07,31.562,-99.999,2.42,29.55491,-9999,12.848,15.45,-9999,0.239703333,-9999,-9999,-9999
45,ICM_JRV_Ev9,JRV_0015_2000_09_25,44.9932,-66.7389,64,64,-20,-20,N,10,22.9556,22,14.9556,11.8667,-99.999,6.11,0.84,7.91,6.47,32.56,-99.999,6.97,25.82944,3.3361,12.78675,13.575,0.22104,0.25177,-9999,-9999,-9999
46,ICM_JRV_Ev9,JRV_0016_2000_09_25,44.9932,-66.7389,64,64,-20,-20,N,10,22.9556,22,14.9556,11.8667,-99.999,6.11,0.84,7.91,6.47,32.56,-99.999,6.97,25.82944,3.3361,12.78675,13.575,0.22104,0.25177,-9999,-9999,-9999
47,ICM_LCR_Ev9,LCR_0007_2009_01_13,17.97166667,-67.01444444,0.1,0.1,15,-5,N,11,4.5578,22,6.5578,11.0333,-0.106,4.969,0.053,0.182,26.43,35.231,102.268,1.108,39.048459,0.523144,-9999,-9999,0.0761738,0.0806146,1.01675,0.001,0.00013551
48,ICM_WBS_Ev9,WBS_0001_2006_09_01,42.78603333,28.68353333,22,22,-968,-968,N,3,34.2659,16,37.2659,13.05,0.809,5.216,0.02,1.067,20.724,17.843,88.48,0,38.9616,0.81316,23.483,23.725,0.10154,0.11874,0.96443,0.001,5.92E-05
49,ICM_WBS_Ev9,WBS_0002_2006_09_01,42.78351667,28.68381667,105,105,-968,-968,N,3,34.2647,16,37.2647,13.05,-99.999,3.69,0.54,1,8.23,20.347,-99.999,44.6,38.9616,0.81316,23.483,23.725,0.10154,0.11874,0.972011,18.2693,0.102229
50,ICM_WBS_Ev9,WBS_0003_2006_09_01,42.78351667,28.68381667,130,130,-968,-968,N,3,34.2647,16,37.2647,13.05,-99.999,4.94,0.91,0.4,8.45,20.908,-99.999,58.4,38.9616,0.81316,23.483,23.725,0.10154,0.11874,0.972011,18.2693,0.102229
51,ICM_WBS_Ev9,WBS_0004_2006_09_01,42.78351667,28.68381667,150,150,-968,-968,N,3,34.2647,16,37.2647,13.05,-99.999,6.72,1.4,0.1,8.57,21.041,-99.999,66.2,38.9616,0.81316,23.483,23.725,0.10154,0.11874,0.907588,21.1141,0.389054
52,ICM_WBS_Ev9,WBS_0005_2006_08_30,42.9241,28.57731667,971,5,-420,-420,Y,3,32.1907,16,41.1907,13.15,0.041,4.713,0.134,1.237,23.518,17.347,100.375,3.872,36.06053,0.76808,23.568,23.67,0.099108,0.10567,1.12778,0.001,0.000293319
53,ICM_WBS_Ev9,WBS_0006_2006_09_02,42.77596667,28.67731667,971,5,-911,-911,Y,3,35.2907,16,35.2907,13,0.472,5.053,0.048,1.216,21.84,17.578,92.991,0,38.9616,0.81316,23.483,23.73,0.10154,0.11874,1.0727,0.001,0.00024058
54,ICM_WBS_Ev9,WBS_0007_2006_09_02,42.77596667,28.67731667,971,5,-911,-911,Y,3,35.2907,16,35.2907,13,0.472,5.053,0.048,1.216,21.84,17.578,92.991,0,38.9616,0.81316,23.483,23.73,0.10154,0.11874,1.0727,0.001,0.00024058
55,ICM_WBS_Ev9,WBS_0008_2006_09_02,42.77596667,28.67731667,971,5,-911,-911,Y,3,35.2907,16,35.2907,13,0.472,5.053,0.048,1.216,21.84,17.578,92.991,0,38.9616,0.81316,23.483,23.73,0.10154,0.11874,1.0727,0.001,0.00024058
56,ICM_WBS_Ev9,WBS_0009_2006_09_02,42.80931667,28.67731667,971,5,-834,-834,Y,3,35.2907,16,35.7907,13.0083,0.472,5.053,0.048,1.216,21.84,17.578,92.991,0,38.9616,0.81316,23.483,23.725,0.10154,0.11874,1.0727,0.001,0.00024058
