,vamps_project,dataset,Latitude,Longitude,Depth,corrected.sample.depth,Absolute.depth,Corrected.depth,sediment,Sunrise_hr,Sunrise_min,Sunset_hr,Sunset_min,Daylength,apparent.oxygen.utilization..A.,O2,Phosphate,Nitrate,Temperature,Salinity,Oxygen.saturation..u.,Silicate,PAR,CHLO,ModisA_SST,AVHRR_SST,SeaWifis_K490,Modis_K490,BEC.simulated.iron..nm.,BEC.simulated.Nitrate..uM.,BEC.simulated.Phosphate..uM.
1,ICM_APP_Ev9,APP_0001_2005_09_17,58.15,6.75,20,20,69,-5,N,5,13,17,42.5,12.4917,-99.999,5.91,0.11,0.3,13.18,34.023,-99.999,1.9,22.80163,-9999,-9999,14.275,-9999,-9999,1.19812,10.2938,0.000272099
2,ICM_APP_Ev9,APP_0002_2005_09_18,58.15,6.75,36,36,69,-5,N,5,15,17,39.5,12.4083,-99.999,5.81,0.32,2.5,10.61,34.597,-99.999,3.5,22.80163,-9999,-9999,14.275,-9999,-9999,1.6081,10.1031,0.000468326
3,ICM_APP_Ev9,APP_0003_2005_09_21,58.18333333,6.75,35,35,69,-5,N,5,21.5,17,31,12.1583,-99.999,5.82,0.32,2.5,10.61,34.597,-99.999,3.5,23.7702,-9999,13.987,-9999,-9999,-9999,1.6081,10.1031,0.000468326
4,ICM_APP_Ev9,APP_0004_2004_05_17,58.15,6.75,36,36,69,-5,N,3,12,19,47.5,16.5917,-99.999,6.73,0.35,3.3,6.15,34.805,-99.999,2.2,49.11245,-9999,-9999,9.695,-9999,-9999,2.71321,11.6365,0.000826044
5,ICM_APP_Ev9,APP_0005_2005_01_13,10.5,-64.66666667,250,250,-721,-721,N,10,42.6667,22,9.6667,11.45,-99.999,3.05,0.8,19.1,13.9,35.817,-99.999,6,43.46611,1.1385,25.304,25.755,0.12011,0.10766,-9999,-9999,-9999
6,ICM_APP_Ev9,APP_0006_2005_01_13,10.5,-64.66666667,300,300,-721,-721,N,10,42.6667,22,9.6667,11.45,-99.999,2.8,1.04,19.1,12.43,35.572,-99.999,8.7,43.46611,1.1385,25.304,25.755,0.12011,0.10766,-9999,-9999,-9999
7,ICM_APP_Ev9,APP_0007_2005_05_23,10.66666667,-65.58333333,320,320,-1410,-1410,N,10,2.3333,22,34.8333,12.5417,-99.999,3.32,1.28,19.5,12.44,35.414,-99.999,6.4,55.66109,0.16706,30.253,26.415,0.042275,0.041279,0.795062,17.0363,1.19078
8,ICM_APP_Ev9,APP_0008_2005_05_23,10.5,-64.66666667,300,300,-721,-721,N,9,58.6667,22,30.6667,12.5333,-99.999,3.38,1.23,18.7,12.87,35.464,-99.999,6,54.07858,0.10335,29.781,26.45,0.029201,0.039325,-9999,-9999,-9999
9,ICM_AWP_Ev9,AWP_0017_2007_08_26,37.476,-30.565,0,0,-1112,-1112,N,7,31.76,20,37.26,13.0917,-0.255,5.114,0.033,0.426,23.512,36.255,105.207,0.826,48.85057444,0.089793556,22.795,24.165,0.028290222,0.031165,0.218301,0.001,0.000219546
10,ICM_AWP_Ev9,AWP_0020_2007_08_26,37.476,-30.565,0,0,-1112,-1112,N,7,31.76,20,37.26,13.0917,-0.255,5.114,0.033,0.426,23.512,36.255,105.207,0.826,48.85057444,0.089793556,22.795,24.165,0.028290222,0.031165,0.218301,0.001,0.000219546
11,ICM_DOF_Ev9,DOF_0001_1997_02_04,-66.16,-168.67,2311,5,-3251,-3251,Y,14,43.18,8,10.18,17.45,0.065,7.881,1.541,22.92,0.172,33.729,99.183,50.283,25.555963,0.260085,0.002381,0.525,0.056897,0.042143,0.0897941,24.6528,1.90617
