Cohort,Monkey,Tissue,Week,mean,mean.syn,mean.ns,se
SIV only,4016,Plasma nex,8,0.001894539,0.000624934,0.001147739,8.98E-06
SIV only,4016,Thoracic LN,8,0.00233216,0.001016743,0.001166999,9.77E-06
SIV only,4016,Lung,8,0.002322139,0.000884894,0.001291605,1.11E-05
Mtb R,31316,Plasma,5,0.001910091,0.000637035,0.001206413,6.02E-06
Mtb R,31316,Plasma nex,8,0.002032295,0.00073358,0.001215229,5.60E-06
Mtb R,31316,Peripheral LN,8,0.002067065,0.000842746,0.001156659,2.34E-05
Mtb R,31316,Thoracic LN,8,0.002015673,0.000733651,0.001204983,1.84E-05
Mtb R,31316,Thoracic LN,8,0.00229671,0.000540789,0.001690174,9.38E-06
Mtb R,16314,Lung,8,0.002011634,0.000722526,0.001179921,2.39E-05
Mtb R,16314,Thoracic LN,8,0.001999808,0.000610938,0.001296425,2.21E-05
Mtb R,20615,Lung,6,0.002650188,0.000737714,0.001831487,1.72E-05
Mtb R,20615,Lung,6,0.002743571,0.001453396,0.001233186,7.89E-06
Mtb R,20615,Lung,6,0.002611477,0.000717288,0.001807349,1.62E-05
Mtb R,3516,Lung,9,0.001777349,0.000514334,0.001164926,2.49E-05
Mtb R,3516,Lung,9,0.002046097,0.000653778,0.001312261,3.03E-05
Mtb NR,3116,Plasma,3,0.002008318,0.00065331,0.001275979,5.49E-06
Mtb NR,3116,Plasma nex,8,0.00199424,0.00068542,0.00124931,6.44E-06
Mtb NR,3116,Peripheral LN,8,0.002232546,0.000689027,0.001428632,2.90E-05
Mtb NR,3116,Thoracic LN,8,0.002217908,0.000691969,0.001399052,5.86E-05
Mtb NR,3116,Lung,8,0.001999912,0.000680346,0.001242947,1.50E-05
Mtb NR,3116,Thoracic LN,8,0.001984572,0.000634711,0.001292018,4.22E-05
Mtb NR,3216,Thoracic LN,9,0.001973949,0.000728315,0.001187052,1.67E-05
Mtb NR,3216,Lung,9,0.001988986,0.000706789,0.001200505,1.36E-05
Mtb NR,30816,Thoracic LN,8,0.002728916,0.001077233,0.001558654,6.53E-05
SIV only,4016,Peripheral LN,8,0.001835357,0.000550173,0.001135047,8.64E-06
